date,hour,"1,7-Dimethylxanthine",1-Methylxanthine,3-Methylxanthine,7-Methylxanthine,Caffeic acid,CIS-CAFFEIC ACID,ferulic acid 4-sulfate,Dihydroisoferulic acid,['Dihydroisoferulic Acid 3-O-Glucuronide'],Vanillic acid 4-sulfate,4-Hydroxybenzoic acid,"1,7-Dimethyluric acid",3-HYDROXYBENZOIC ACID,"3,7-Dimethyluric acid",Caffeic acid,Hippuric acid,isoferulic acid,5-O-Feruloylquinic acid,Quinic acid,Xanthine,N-(2-Furoyl)glycine,Catechin,CIANIDANOL,Quercetin,3-Methylxanthine,7-Methyluric acid,7-Methylxanthine,Theobromine,GALLIC ACID,Dopamine,L-TRYPTOPHAN,Tryptamine,Serotonin,3-Methoxytyramine,5-HYDROXYINDOLE-3-ACETIC ACID,['Homovanillic acid sulfate'],Salsolinol
4.15,11:00,0.005424644,0.846107966,1.733044439,0.001496273,0.056341576,0.557343248,0.692703318,0.140948421,0.089725383,0.259223335,0.056220853,0.299258834,0.102566609,0.000751748,0.056341576,5.306006449,0.155809999,0.136073963,0.012899544,0.650066164,0.223429791,0.042522185,0.031976218,0.000833907,1.733044439,0.056677689,0.001496273,0.012657904,0.006640211,0.193900573,1.028072032,0.003927778,0.029277762,0.00207597,0.000182715,0.020418694,0.046140645
4.15,11:30,0.006085858,1.647763961,0.027137036,0.001543857,0.097243737,0.509334298,0.096155614,0.622320352,0.007538465,0.181958434,0.016056252,3.181369786,0.459479051,0.000325737,0.097243737,6.130692823,0.050464578,0.153140323,0.005822805,0.253190875,0.079948252,0.013437508,0.008845235,0.013666323,0.027137036,0.210732181,0.001543857,0.021096988,0.022337162,0.12764451,2.023842238,0.002859106,0.018452285,0.003045554,0.000460856,0.037150755,0.05424199
4.15,14:30,0.007885546,2.291538588,2.097620483,0.001673958,0.014406861,3.261817703,0.731599245,0.274668987,0.02347685,0.13551096,0.037810566,0.719481732,0.115480565,0.00083999,0.014406861,10.24612033,0.017259435,0.020622121,0.442782107,0.469549057,0.476007387,0.454635785,0.057675465,0.037013505,2.097620483,0.152461665,0.001673958,0.010245566,0.007593384,0.117118591,1.427309262,0.005475504,0.044846188,0.001226629,1.93E-05,0.010510668,0.021526115
4.15,16:00,0.008142634,2.198700367,3.734583819,0.001892325,0.015525706,0.12576328,0.50432677,0.112785108,0.012510696,0.456959826,0.024018394,0.935551706,0.124371365,0.000723847,0.015525706,5.295616585,0.095867017,0.000533691,0.357001226,0.337335805,0.147700681,0.02273143,0.018938009,0.001114836,3.734583819,0.534204031,0.001892325,0.013024229,0.011710223,0.084044875,0.966895785,0.004224977,0.151721536,0.003044093,0.000293776,0.006605161,0.007613018
4.15,17:10,0.010493143,3.615936274,3.244761709,0.00180836,0.01915872,0.04688345,0.403289465,0.311726488,0.299011427,0.231468624,0.031886173,0.831561026,0.236507278,0.000772522,0.01915872,34.61137356,0.342927439,0.021389798,0.541227258,0.335852682,0.32732344,0.461204772,0.109091038,0.014016981,3.244761709,0.185867572,0.00180836,0.020865128,0.007360869,0.181562175,2.741443439,0.002757774,0.039450173,0.004217291,0.000325281,0.010896094,0.076888943
4.15,19:57,0.021345932,4.14916625,3.419157425,0.004313929,0.011437866,0.842401678,0.743177256,0.771535883,1.573038562,0.970338725,0.150172116,1.834537518,0.171322938,0.002216732,0.011437866,16.41067574,0.425334035,0.008113608,0.350457713,0.312486699,0.46268723,0.13889933,0.094226911,0.013021316,3.419157425,0.918000941,0.004313929,0.066761298,0.001560114,0.12718831,3.277704184,0.006276776,0.81726167,0.000231462,0.000489439,0.012799561,0.096875375
4.15,22:20,0.017262205,3.896980329,3.255075079,0.003647329,0.008887506,0.517391051,0.703862679,0.941277948,2.536713862,0.770196018,0.12525535,1.653314648,0.163034869,0.001535151,0.008887506,17.91523058,0.408806159,0.045022701,0.285328972,0.287374098,0.351681379,0.092855525,0.109860496,0.014695442,3.255075079,1.044677392,0.003647329,0.021228027,0.006722219,0.754047545,3.951000119,0.010942853,0.33661818,0.000237446,0.000642944,0.009093299,0.148774172
4.18,11:21,0.009422488,2.998111013,3.499829702,0.002331014,0.041723225,0.315862834,0.817085631,0.692302119,0.442888694,0.633042391,0.064748503,0.529256592,0.106932119,0.000976416,0.041723225,23.86991035,0.338219532,0.145481423,0.215665318,0.462534227,0.369588914,0.17288968,0.044113632,0.011994677,3.499829702,0.131078341,0.002331014,0.014829255,0.004252053,1.157772942,2.431814361,0.006071401,0.073042695,0.002105027,0.000186179,0.007305107,0.032058508
4.18,13:17,0.008554658,3.300262575,1.819594335,0.001949133,0.046219036,0.820241039,1.024602346,0.286726539,0.2574225,0.354680648,0.059554234,0.655705933,0.337859255,0.001113135,0.046219036,14.45164731,0.504682768,0.10169963,0.649963762,0.416297379,0.211982029,0.27303832,0.074733756,0.005518517,1.819594335,0.141118993,0.001949133,0.012507378,0.004157149,0.081724175,2.238180275,0.001863161,0.085167718,0.001763209,0.000335454,0.008964734,0.067169071
4.18,14:53,0.007924054,1.362828314,2.132808824,0.001864745,0.017927232,2.042094314,2.220830479,0.072410582,0.011780965,0.077980637,0.128086814,2.086073081,0.10290995,0.000888312,0.017927232,1.646388112,0.030079283,0.035053201,0.292465741,0.476672246,0.193152803,0.025050568,0.019691388,0.000712411,2.132808824,0.176158535,0.001864745,0.012504255,0.009577583,0.042847638,0.822004101,0.006438042,0.006660018,9.00E-05,0.000226738,0.007367545,0.043079043
4.18,15:34,0.011220045,2.065975652,0.856201252,0.001644322,0.021602239,0.599570907,1.371649967,0.348361146,0.146492663,0.522813927,0.055752321,1.459114372,0.165450997,0.001000483,0.021602239,9.008946518,0.110799793,0.035985977,0.292510695,0.115033609,0.232786544,0.025687298,0.057074874,0.000532822,0.856201252,0.038473694,0.001644322,0.014354571,0.012294641,0.217542677,0.856509467,0.001886761,0.052048024,0.003458908,0.000195487,0.014566682,0.015886493
4.18,16:42,0.025878079,3.94346315,4.120791908,0.003360931,0.044712085,3.041197719,3.485557404,0.554377954,0.041489094,0.532880757,0.147138693,1.570342439,0.53644696,0.001576155,0.044712085,32.76959138,0.121483992,0.079807184,0.265537096,0.75233572,0.503459361,0.290704817,0.144557805,0.010180346,4.120791908,0.509614654,0.003360931,0.039739474,0.019615532,0.238863401,2.326465824,0.007324181,0.099476336,0.000194566,0.001427409,0.041066099,0.097430236
4.18,17:52,0.011169368,3.646411389,2.267524079,0.001940582,0.019856413,0.929890868,1.011207623,1.037339127,0.639231535,0.80514577,0.10954214,0.899204037,0.475555077,0.000220373,0.019856413,27.77350524,0.226782505,0.031533796,0.235810553,0.361637386,0.306367363,0.147316366,0.068469561,0.059701412,2.267524079,0.200190321,0.001940582,0.012704019,0.016528415,0.263163022,1.79510851,0.004194974,0.075502868,0.00408447,0.000167863,0.012881283,0.082845641
4.18,22:12,0.008237096,4.250807394,1.610688946,0.001918477,0.029024911,1.308325026,1.619237316,0.679863461,0.038438135,0.080932241,0.092751362,2.546395334,0.213569124,0.000411018,0.029024911,44.2222416,0.029053667,0.042496259,0.232831414,0.102346504,0.215829774,0.377551959,0.053238899,0.468833591,1.610688946,0.071491616,0.001918477,0.016214374,0.032059021,0.454494861,3.217934873,0.002266761,0.164585947,0.000250875,0.00051589,0.014421896,0.396763325
