Name,Food Source,Sample Size ,Biological Sample , Analytic Procedure  ,Literature name 
 (+)-1-acetoxypinoresinol , Virgin olive oil , - , - , HPLC , ID4417 
 (+)-Catechin 3-O-gallate , - , - , - ," OPLS-DA, VIP ", ID3812 
 (+)-Catechin 3-O-gallate , Buckwheat , - , - , - , ID3980 
 (+)-Catechin 3-O-gallate , - , - , - , - , ID4213 
 (+)-Catechin 3-O-gallate , - , - , - , - , PMC8624971 
 (+)-Catechin 3-O-glucose , - , - , - , - , ID4123 
 (+)-Catechin 3-O-glucose , - , - , Urine (24hr) , Tandem mass spectrometry , PMC8624971 
 (+)-Catechin ," Apples, Red wine ", - , - , - , ID1114 
 (+)-catechin , - , - , Urine , - , ID1460 
 (+)-Catechin , - , - , - , - , ID3667 
 (+)-Catechin , Chardonnay wines , - , - , - , ID4123 
 (+)-Catechin , - , - , - , - , ID4213 
 (+)-Catechin ," Red and white wines, leaves of V. bellula ", - , - ," TLC, HPLC-PAD ", PMC3901255 
 (+)-Catechin , Cocoa , - , - , - , PMC8470844 
 (+)-Catechin ," Flavan-3-ols (e.g., catechin, epicatechin) ", 419 participants , Urine (24-h) , UPLC-MS/MS , PMC8624971 
 (+)-Gallocatechin 3-O-gallate , - , - , - , - , PMC8624971 
 (+)-Gallocatechin ," EVOO (Tunisian, Italian) ", - , - , OPLS-DA , ID3232 
 (+)-Gallocatechin , Goji berries , - , - , OPLS-DA , ID3808 
 (+)-Gallocatechin , Leaves , - ,," TLC, HPLC-PAD ", PMC3901255 
 (+)-Gallocatechin , Cocoa beans , - , - , - , PMC8470844 
 (+)-Gallocatechin , - , - , - , - , PMC8624971 
 (+)-pinoresinol , olive oil , - , - ," HPLC (FLD, MS) ", PMC5085660b 
 (+)-Pinoresinol , Virgin olive oil , - , - , HPLC , ID4417 
 (-)-Catechin gallate , Golden buckwheat , - , - , - , PMC9247553 
 (-)-epicatechin , Green tea , - ," Plasma, Urine ", - , PMC4477246 
 (-)-Epicatechin 3-O-gallate , - , - , - , OPLS-DA , ID3812 
 (-)-Epicatechin 3-O-gallate , Chardonnay wine , - , - , - , ID4123 
 (-)-Epicatechin 3-O-gallate , - , - , - , - , ID4213 
 (-)-Epicatechin 3-O-gallate , - , - , Urine , - , PMC8624971 
 (-)-epicatechin gallate , Green tea , - , Plasma , - , PMC4477246 
 (-)-Epicatechin gallate , Golden buckwheat rhizomes , - , - , - , PMC9247553 
 (-)-Epicatechin-(2a-7)(4a-8)-epicatechin 3-O-galactoside , - , - , - , - , ID4213 
 (-)-Epicatechin-(2a-7)(4a-8)-epicatechin 3-O-galactoside , - , - , - , - , PMC8624971 
 (-)-epicatechin-3'-glucuronide , - , - , Urine (24hr) , LC-MS , PMC6739331b 
 (-)-epicatechin-3'-glucuronide , (-)-epicatechin intake , - , Urine (spot) ," Liquid chromatography (C18 column) with electrospray ionization tandem mass spectrometry (negative ion mode); automated sample preparation, internal standard (D2/D3-epicatechin-3'-beta-D-glucuronide), quality control ", PMC7578063b 
 (-)-epicatechin-3'-glucuronide , - , - , - , - , ID4871 
 (-)-epicatechin-3'-glucuronide , - , - , Urine , Automated sample preparation (Hamilton Star robot) , PMC11186626b 
 (-)-epicatechin-3'-sulfate , - , - , Urine (24h) , LC-MS , PMC6739331b 
 (-)-epicatechin-3'-sulfate (E3S) , (-)-epicatechin intake , - , Urine (spot) ," Liquid chromatography (C18 column) with electrospray ionisation tandem mass spectrometry (negative ion mode), automated sample preparation ", PMC7578063b 
 (-)-epicatechin-3'-sulfate , - , - , - , - , ID4871 
 (-)-epicatechin-3'-sulphate , - , - , Urine , - , PMC11186626b 
 (-)-epicatechin-3′-sulfate , - , - , - , - , PMC6739331 
 (-)-epicatechin-3′-beta-D-glucuronide , - , - , Urine (spot) , - , PMC6739331 
 (-)-Epicatechin ," Apples, pears, grapes, peaches, red wine, black tea ", - , - , - , ID1114 
 (-)-Epicatechin ," Red and white wines, leaves of V. bellula ", - , - ," TLC, HPLC-PAD ", PMC3901255 
 (-)-Epicatechin , Cocoa , - , - , - , PMC8470844 
 (-)-Epicatechin ," apples, pears, tea ", 419 participants , Urine (24-h) , UPLC-MS/MS , PMC8624971 
 (-)-epigallocatechin , Green tea , - ," Plasma, Urine ", - , PMC4477246 
 (-)-Epigallocatechin 3-O-gallate , - , - , Urine , - , PMC8624971 
 (-)-epigallocatechin gallate , Green tea , - ," Plasma, Urine ", - , PMC4477246 
 (-)-Epigallocatechin-3-gallate , Green tea , - , - , - , ID927 
 (-)-Epigallocatechin ," EVOO (Tunisian, Italian) ", - , - ," OPLS-DA, VIP analysis ", ID3232 
 (-)-Epigallocatechin , - , - , - , - , ID4123 
 (-)-Epigallocatechin , Leaves of Vitis bellula , - , - ," TLC, HPLC-PAD ", PMC3901255 
 (-)-Epigallocatechin , - , - , - , - , PMC5644282 
 (-)-Epigallocatechin ," Cocoa, teas, wine ", - , - , - , PMC8470844 
 (-)-Epigallocatechin , - , - , - , - , PMC8624971 
 (1-Butylheptyl)-benzene , - , - , - , - , ID4172 
 (1-Butylhexyl)-benzene , - , - , - , - , ID4172 
 (1-Ethyldecyl)-benzene , - , - , - , PLS-DA , ID4172 
 (1-Ethylnonyl)-benzene , - , - , - , - , ID4172 
 (1-Ethyloctyl)-benzene , - , - , - , - , ID4172 
 (1-Methylundecyl)-benzene , Heterotrigona itama honey , - , - , - , ID4172 
 (1-Propylnonyl)-benzene , - , - , - , - , ID4172 
 (1-Propyloctyl)-benzene , - , - , - , - , ID4172 
" (1R,6R)-6-Hydroxy-2-succinylcyclohexa-2,4-diene-1-carboxylate ", - , - , Urine , - , ID5545 
" (1S,2S)-3-oxo-2-pentyl-cyclopentanehexanoic acid ", PDO Grana Padano cheese , - , - , - , ID3546 
" (22E,24R)-Stigmasta-4,22-diene-3,6-dione ", High-protein diet , - , Fecal samples , - , PMC10778572 
" (23S)-23,25-dihydroxy-24-oxovitamine D3 23-(beta-glucuronide) ", salmon , - , Plasma , - , ID5561 
 (24R)-24-methylcycloart-25-en-3beta-ol , EVOO , - , - , - , ID3232 
 (24S)-isocalysterol , EVOO , - , - , OPLS-DA , ID3812 
 (25E)-26-methylstrongylosterol ," EVOO (Tunisian, Italian) ", - , - , OPLS-DA , ID3232 
 (25R)-5beta-spirostan-3beta-ol ," EVOO (Tunisian, Italian) ", - , - ," OPLS-DA, VIP analysis ", ID3232 
 (25Z)-26-methylstrongylosterol , EVOO (Tunisian and Italian) , - , - , OPLS-DA , ID3232 
 (2E)-Piperamide-C5:1 ," plant-based foods (e.g., peppers, herbs) ", - , - , - , PMC11222465 
 (2R)-3-Hydroxyisovaleroylcarnitine , Animal protein (AP) diet , - , Plasma , - , PMC8952012 
" (2S,4S)-Monatin ", elephant garlic , - , - , OPLS-DA , ID2719 
" (3,4-Dimustardacyl)-fructosyl-alpha-D-(6-mustard acyl) glucoside ", - , - , - , - , PMC11031806 
 (3-Carboxypropyl)trimethylammonium , - , - , Plasma , - , PMC8952012 
 (3-Hydroxy-4-methoxyphenyl)ethanone , - , - , Urine ," Untargeted metabolomics (IPSL matching: RT, MS, MS/MS) ", PMC9343475 
 (3-Mustardacyl)-fructosyl-alpha-D-(6-mustard acyl) glucoside , - , - , - , - , PMC11031806 
" (3,4-Dimustardacyl)-fructosyl-alpha-D-(6-mustard acyl) glucoside ", - , - , - , - , PMC11031806 
" (3R,5S)-[6]-gingerdiol-4'-glucuronide ", Ginger , - , Urine , MS2 and MS3 spectra , ID858 
" (3R,5S)-[6]-gingerdiol ", Ginger , - , - , - , ID858 
" (3s,5r,6s,7e,9x)-7-megastigmene-3,6,9-triol ", Wine , - , Urine , UPLC-QTOF-MS , PMC10673339 
" (3beta)-Stigmast-5-en-3-yl (5E,8E,11E,14E,17E)-5,8,11,14,17-icosapentaenoate ", Salmon , - , Plasma , - , ID5561 
" (4E,8E,10E-d18:3) sphingosine ", - , - , Urine , - , PMC11222465 
 (5S)-[10]-gingerol , Ginger , - , - , - , ID858 
 (5S)-[6]-gingerol , Ginger , - , - , MS/MS , ID858 
 (5S)-[8]-gingerdiol , Ginger , - , - , - , ID858 
 (5S)-[8]-gingerol , Ginger , - , - , - , ID858 
 (6S)-dehydrovomifoliol , PDO Grana Padano cheese , - , - , - , ID3546 
" (7'R,8'R)-4,7'-Epoxy-3'-methoxy-4',5,9,9'-lignanetetrol 9'-glucoside ", Alcoholic beverages , - , Infant stool (IS-0M) , - , PMC11243545 
 (7Z)-Hexadecenoic acid , Sugarcane rind , - , - , - , PMC9480494 
" (8R,9R,10R,13S,14S)-10,13-Dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro 1H-cyclopenta[a]phenanthrene-3,7,17-triol ", - , - , - , - , PMC10808786 
" (9S,13S)-10,11-dihydro-12-oxo-15-phytoenoic acid ", PDO Grana Padano cheese , - , - , - , ID3546 
 (9Z)-12-Oxo-dodec-9-enoate , - , - , - , - , PMC10302879 
" (9Z,11E)-Octadecadienoic acid ", Sugarcane rind , - , - , - , PMC9480494 
" (E)-2,6-dimethyl-3,7-octadiene-2,6-diol "," Linden honey, chestnut honey ", - , - , Silica gel column chromatography (1% MeOH) , ID5323 
" (E)-2,6-dimethylocta-2,7-diene-1,6-diol ", Orange honey , - , - , ¹H NMR , ID5323 
 (E)-2-Decenal , Hazelnut , - , - , GC×GC-MS/FID , ID3750 
 (E)-2-decenedioic acid ," Honey, Royal jelly ", - , - ," NMR, ESI-MS ", ID5323 
 (E)-2-Heptenal , hazelnut , - , - , - , ID3750 
 (E)-2-Nonenal , Hazelnut , - , - , - , ID3750 
 (E)-2-nonenedioic acid , Honey , - , - ," ESI-MS, NMR ", ID5323 
 (E)-2-propenyl , wine , - , - , GC-MS , PMC10673339 
" (E)-3-(3,4-dihydroxyphenyl)prop-2-enoic acid (caffeic acid) ", coffee , - , - , - , PMC7298227 
 (E)-4-Nitrostilbene , - , - , - , - , PMC9269977 
 (E)-p-2-Menthen-1-ol , Hazelnuts , - , - , GC×GC-MS/FID , ID3750 
 (Epi)catechin glucuronides , Wine , - , Urine ," UPLC-MS/MS, GC-MS ", PMC10673339 
 Methyl(epi)catechin glucuronides , Wine , - , Urine ," UPLC-ESI-MS/MS, UPLC-MS/MS, GC-MS ", PMC10673339 
