Biomarker Name,Food Source,Biological Sample,Analytic Procedure,Literature name
(+)-1-acetoxypinoresinol,virgin olive oil,-,HPLC chromatography,ID4417
"(+)-1,2-epoxyeomenthyl acetate",-,-,-,PMC7696221
"(+)-2-cis,4-trans-abscisic acid",strawberry tree honey,-,-,ID1944
(+)-2-bornanone,-,-,-,ID3135
(+)-afzelechin,-,-,-,PMC3901255
"(+)-2-trans,4-trans-abscisic acid",strawberry tree honey,-,-,ID1944
(+)-catechin 3-O-gallate,-,-,-,ID3535
(+)-Catechin 3-O-gallate,-,-,-,ID3812
(+)-Catechin 3-O-gallate,-,-,-,ID3980
(+)-catechin 3-O-gallate,-,-,-,ID4213
(+)-catechin 3-O-glucose,-,-,-,ID3467
(+)-catechin 3-O-glucose,-,-,-,ID4123
(+)-catechin 3-O-glucose,-,-,-,PMC5644282
(+)-catechin,-,hydrolyzed urine,-,ID1460
(+)-catechin,-,-,-,ID3667
(+)-catechin,-,small intestinal explants from Balb/c mice,western blot analysis,ID3210
(+)-catechin,-,-,-,ID4123
(+)-catechin,-,-,-,ID4213
(+)-catechin,-,plasma,-,ID728
(+)-catechin,"leaves, red and white wines, wine products made from berries of V. vinifera, leaves of V. bellula",-,"thin layer chromatography, high performance liquid chromatography-photodiode array detector",PMC3901255
(+)-catechin,Peanut skin,-,-,PMC4899491
(+)-catechin,-,-,-,PMC5644282
(+)-catechin,-,-,-,PMC8470844
(+)-catechin,polyphenol-rich foods,urine (24 h),-,PMC9781513
(+)-Gallocatechin,-,-,-,ID3808
(+)-catechin,"flavan-3-ol monomers, proanthocyanidins, theaflavins, total flavan-3-ols, apple and pear, grape, berries, banana, chocolate and chocolate products, cakes and pastries, coffee, tea, herbal tea, wine, red wine, beer and cider, stone fruits",urine (24 h),"tandem mass spectrometry after enzymatic deconjugation, ultra-performance liquid chromatography-tandem mass spectrometry system, differential isotope-labelling method",PMC8624971
(+)-gallocatechin,-,-,-,ID4027
(+)-gallocatechin,-,Plasma,-,ID728
(+)-gallocatechin,-,-,-,PMC8470844
(+)-gallocatechin,leaves of V. bellula,-,"thin layer chromatography, high performance liquid chromatography-photodiode array detector",PMC3901255
(+)-Neomenthol,-,-,-,ID4703
(+)-pinoresinol,virgin olive oil,-,HPLC chromatography,ID4417
(+)-pinoresinol,Picual olive oil,-,"FLD, MS",PMC5085660b
(+)-Sativene,-,-,-,ID4703
(+)-trans-Isolimonene,-,-,-,ID4703
(+/-)-2-(5-methyl-5-vinyltetrahydrofuran-2-yl)propionaldehyde,-,-,-,PMC7696221
(-)-catechin gallate,-,-,-,PMC9247553
(-)-catechin,polyphenol-rich foods,urine (24 h),-,PMC9781513
(-)-epiafzelechin,foliage PAs of V. bellula; grape seed PAs,leaf extract,butanol-HCl boiling,PMC3901255
(-)-Epiafzelechin,-,-,-,PMC9227771
(-)-epicatechin 3-O-gallate,-,-,-,ID3535
(-)-Epicatechin 3-O-gallate,-,-,-,ID3812
(-)-epicatechin 3-O-gallate,-,-,-,ID4213
(-)-epicatechin 3-O-gallate,-,-,quantified according to the corresponding standard per phenolic class,ID4123
(-)-epicatechin conjugates,-,-,-,ID1396
(-)-epicatechin gallate,Green tea,Plasma,-,PMC4477246
(-)-epicatechin gallate,tea samples,-,-,PMC7016031
(-)-epicatechin gallate,-,-,-,PMC9247553
(-)-Epicatechin-(2a-7)(4a-8)-epicatechin 3-O-galactoside,-,-,-,ID4213
(-)-epicatechin-3'-glucuronide,-,-,-,ID4871
(-)-epicatechin-3'-glucuronide,-,-,-,PMC11186626b
(-)-epicatechin-3'-glucuronide,flavan-3-ol intake,spot urine,-,PMC7578063b
(-)-epicatechin-3'-sulfate,-,-,micro-solid phase extraction,ID4871
(-)-epicatechin-3'-sulfate,flavan-3-ol intake,spot urine,-,PMC7578063b
(-)-epicatechin-3'-sulphate,flavan-3-ol and (-)-epicatechin intake,-,-,PMC11186626b
(-)-epicatechin-3-O-gallate,-,-,-,ID1460
(-)-epicatechin-3∩-beta-D-glucuronide,-,-,-,PMC6739331
(-)-epicatechin-3∩-glucuronide,(-)-epicatechin and other flavanols,-,-,ID4605
(-)-epicatechin-3∩-glucuronide,(-)-epicatechin intake,urine (24 h),LC-MS,PMC6739331b
(-)-epicatechin-3∩-sulfate,-,-,-,PMC6739331
(-)-epicatechin-3∩-sulphate,-,-,-,ID4605
(-)-epicatechin-3∩-sulfate,(-)-epicatechin,urine (24 h),LC-MS,PMC6739331b
(-)-epicatechin,almond and hazelnut skins,urine,-,ID1460
(-)-epicatechin,-,-,-,ID1944
(-)-epicatechin,-,-,-,ID3667
(-)-epicatechin,-,-,-,ID4213
(-)-epicatechin,-,-,-,ID4605
(-)-epicatechin,-,-,-,ID4924
(-)-epicatechin,dark chocolate,-,-,ID728
(-)-epicatechin,apples,-,-,PMC11186626b
(-)-Epicatechin,flavanol-rich foods,-,-,PMC11564365
(-)-epicatechin,"cocoa products, cocoa beverage, chocolate bar, chocolate, cocoa polyphenols, cocoa flavan-3-ols",-,-,PMC3575927
(-)-epicatechin,"red and white wines, leaves of V. bellula",-,"thin layer chromatography, high performance liquid chromatography-photodiode array detector",PMC3901255
(-)-epicatechin,Green tea,"plasma, urine",-,PMC4477246
(-)-epicatechin,-,-,-,PMC7578063b
(-)-epicatechin,"cocoa, cocoa powder, cocoa extract, raw chocolate",-,-,PMC8470844
(-)-epigallocatechin 3-gallate,green tea,plasma,-,PMC3575927
